date,school_board,closed,snowfall_overnight_cm,snowfall_24h_cm,temp_min_overnight_c,wind_gust_overnight_kmh
2014-11-03,TDSB,0,0,0,1.889000058,27.3599987
2014-11-03,DPCDSB,0,0,0,1.761500001,31.31999779
2014-11-03,PDSB,0,0,0,1.774500012,31.31999779
2014-11-03,YRDSB,0,0,0,0.430000007,23.75999832
2014-11-03,HCDSB,0,0,0,2.851500034,28.79999924
2014-11-04,TDSB,0,0,0,6.589000225,21.59999847
2014-11-04,DPCDSB,0,0,0,6.761499882,25.19999886
2014-11-04,PDSB,0,0,0,6.774499893,25.19999886
2014-11-04,YRDSB,0,0,0,5.28000021,15.11999893
2014-11-04,HCDSB,0,0,0,8.651499748,29.87999916
2014-11-05,TDSB,0,0,0,8.538999557,48.59999847
2014-11-05,DPCDSB,0,0,0,8.061499596,49.31999969
2014-11-05,PDSB,0,0,0,8.074500084,49.31999969
2014-11-05,YRDSB,0,0,0,7.53000021,48.95999908
2014-11-05,HCDSB,0,0,0,9.05150032,52.56000137
2014-11-06,TDSB,0,0,0,4.888999939,20.15999985
2014-11-06,DPCDSB,0,0,0,4.811500072,18
2014-11-06,PDSB,0,0,0,4.824500084,18
2014-11-06,YRDSB,0,0,0,2.880000114,19.07999992
2014-11-06,HCDSB,0,0,0,6.75150013,14.03999996
2014-11-07,TDSB,0,0,0.007,4.238999844,34.91999817
2014-11-07,DPCDSB,0,0,0,3.661499977,38.15999985
2014-11-07,PDSB,0,0,0,3.674499989,38.15999985
2014-11-07,YRDSB,0,0,0.069999999,2.579999924,33.83999634
2014-11-07,HCDSB,0,0,0,5.051499844,34.91999817
2014-11-10,TDSB,0,0,0,5.138999939,39.95999908
2014-11-10,DPCDSB,0,0,0,4.711500168,39.95999908
2014-11-10,PDSB,0,0,0,4.724500179,39.95999908
2014-11-10,YRDSB,0,0,0,3.829999924,37.43999863
2014-11-10,HCDSB,0,0,0,6.301499844,39.95999908
2014-11-11,TDSB,0,0,0,7.138999939,32.0399971
2014-11-11,DPCDSB,0,0,0,6.461500168,24.84000015
2014-11-11,PDSB,0,0,0,6.474500179,24.84000015
2014-11-11,YRDSB,0,0,0,6.329999924,29.87999916
2014-11-11,HCDSB,0,0,0,8.101500511,29.87999916
2014-11-12,TDSB,0,0,0,9.338999748,40.68000031
2014-11-12,DPCDSB,0,0,0,8.511499405,42.83999634
2014-11-12,PDSB,0,0,0,8.524499893,42.83999634
2014-11-12,YRDSB,0,0,0,8.829999924,42.83999634
2014-11-12,HCDSB,0,0,0,9.50150013,39.23999786
2014-11-13,TDSB,0,0,0.014,0.888999999,33.47999954
2014-11-13,DPCDSB,0,0,0.021000001,0.711499989,34.91999817
2014-11-13,PDSB,0,0,0.021000001,0.724499941,34.91999817
2014-11-13,YRDSB,0,0,0,-0.519999981,30.59999847
2014-11-13,HCDSB,0,0,0.014,2.101500034,33.47999954
2014-11-14,TDSB,0,0,0,-1.161000013,28.44000053
2014-11-14,DPCDSB,0,0,0,-1.488499999,33.47999954
2014-11-14,PDSB,0,0,0,-1.475499988,33.47999954
2014-11-14,YRDSB,0,0,0,-2.369999886,24.11999893
2014-11-14,HCDSB,0,0,0,-0.298500001,32.0399971
2014-11-17,TDSB,0,0.119000006,0.678999996,-0.911000013,14.03999996
2014-11-17,DPCDSB,0,0.147000003,0.636999989,-1.188500047,18
2014-11-17,PDSB,0,0.147000003,0.636999989,-1.175500035,18
2014-11-17,YRDSB,0,0.070000005,0.672000027,-2.320000172,12.59999943
2014-11-17,HCDSB,0,0.182000005,0.678999996,-0.24849999,17.28000069
2014-11-18,TDSB,0,0.007,0.007,-6.210999966,50.0399971
2014-11-18,DPCDSB,0,0.014,0.028,-6.788499832,53.63999557
2014-11-18,PDSB,0,0.014,0.028,-6.775499821,53.63999557
2014-11-18,YRDSB,0,0,0.014,-7.970000267,42.83999634
2014-11-18,HCDSB,0,0.028,0.034999999,-5.49849987,54
2014-11-19,TDSB,0,0,0.119000006,-6.210999966,58.67999649
2014-11-19,DPCDSB,0,0,0.118999994,-7.238500118,61.19999695
2014-11-19,PDSB,0,0,0.118999994,-7.225500107,61.19999695
2014-11-19,YRDSB,0,0.028,0.119000006,-7.319999695,56.15999985
2014-11-19,HCDSB,0,0,0.153999996,-6.798500061,56.88000107
2014-11-20,TDSB,0,0.083999997,0.091000003,-3.210999966,51.11999893
2014-11-20,DPCDSB,0,0.076999998,0.084000003,-3.888499975,56.15999985
2014-11-20,PDSB,0,0.076999998,0.084000003,-3.875499964,56.15999985
2014-11-20,YRDSB,0,0.077000004,0.076999998,-4.46999979,41.0399971
2014-11-20,HCDSB,0,0.091000003,0.098000002,-2.648499966,55.79999924
2014-11-21,TDSB,0,0,0,-6.761000156,42.47999954
2014-11-21,DPCDSB,0,0,0,-7.238500118,43.19999695
2014-11-21,PDSB,0,0,0,-7.225500107,43.19999695
2014-11-21,YRDSB,0,0,0,-9.069999695,30.96000099
2014-11-21,HCDSB,0,0,0,-6.548500061,41.0399971
2014-11-24,TDSB,0,0,0,5.539000034,34.91999817
2014-11-24,DPCDSB,0,0,0,5.461500168,28.79999924
2014-11-24,PDSB,0,0,0,5.474500179,28.79999924
2014-11-24,YRDSB,0,0,0,4.880000114,36.71999741
2014-11-24,HCDSB,0,0,0,7.151499748,35.63999939
2014-11-25,TDSB,0,0,0,3.138999939,77.76000214
2014-11-25,DPCDSB,0,0,0,2.561500072,76.67999268
2014-11-25,PDSB,0,0,0,2.574500084,76.67999268
2014-11-25,YRDSB,0,0,0,2.079999924,73.0799942
2014-11-25,HCDSB,0,0,0,3.701499939,77.76000214
2014-11-26,TDSB,0,0,0.007,-0.911000013,34.91999817
